id,hotel_name,region,latitude,longitude,accommodation_type,cost,minimum_nights,number_of_reviews,reviews_per_month,owner_id,owned_hotels,yearly_availability
13232,Hotel Arena,Manhattan,40.71854,-74.00439,Entire home/apt,170,5,7,0.56,929983,1,0
246,K K Hotel George,Brooklyn,40.64446,-73.9503,Entire home/apt,65,3,238,2.3,281764,1,0
19091,Apex Temple Court Hotel,Queens,40.78573,-73.81062,Private room,85,1,0,,19923341,1,1
34305,The Park Grand London Paddington,Manhattan,40.73863,-73.98002,Private room,210,30,0,,200380610,65,1
444,Monhotel Lounge SPA,Manhattan,40.82426,-73.9463,Shared room,75,3,38,0.42,745069,3,1
30553,Kube Hotel Ice Bar,Manhattan,40.73976,-74.00953,Private room,200,10,11,0.76,11243113,1,1
30500,The Principal London,Brooklyn,40.67913,-73.98015,Entire home/apt,95,1,8,0.52,1746811,2,0
48755,Park Plaza County Hall London,Manhattan,40.75288,-73.97269,Shared room,380,3,0,,273812306,1,0
3647,One Aldwych,Manhattan,40.71735,-73.99095,Entire home/apt,79,1,259,3.93,11136429,1,0
2673,Splendid Etoile,Queens,40.76781,-73.92684,Private room,70,20,75,1.05,7676839,1,1
47512,Hotel Trianon Rive Gauche,Brooklyn,40.63293,-73.97117,Private room,86,2,0,,117987098,1,1
39794,InterContinental London Park Lane,Brooklyn,40.68873,-73.96133,Shared room,100,5,1,0.15,65775049,2,0
22760,Novotel Suites Paris Nord 18 me,Manhattan,40.72948,-74.00961,Private room,195,30,1,0.25,22541573,87,1
39743,Grand Royale London Hyde Park,Manhattan,40.72886,-73.99139,Private room,179,1,0,,213781715,33,1
36514,Milestone Hotel Kensington,Bronx,40.87072,-73.89974,Shared room,65,2,0,,9808458,4,1
45327,Crowne Plaza London Kings Cross,Manhattan,40.72757,-73.98336,Private room,150,31,0,,261589968,1,1
37393,Select Hotel,Manhattan,40.7662,-73.94676,Shared room,250,3,2,0.31,84077949,1,0
36840,H tel De Vend me,Manhattan,40.75985,-73.99799,Private room,170,12,1,0.11,53621734,1,1
20351,Pullman Paris Centre Bercy,Manhattan,40.73613,-74.00711,Private room,220,28,2,0.08,65811347,1,1
27292,Gardette Park Hotel,Manhattan,40.7237,-73.99454,Entire home/apt,200,5,7,0.36,70844761,1,0
22422,Hotel Panache,Brooklyn,40.70091,-73.92215,Entire home/apt,60,2,113,4.15,9630989,2,0
36096,H tel des Ducs D Anjou,Manhattan,40.78588,-73.97117,Private room,200,4,0,,133762456,1,1
32401,Hotel Scribe Paris Opera by Sofitel,Queens,40.66732,-73.77813,Shared room,60,1,6,0.45,123506305,3,1
27574,Novotel London West,Manhattan,40.73057,-74.00458,Entire home/apt,199,3,16,0.81,10974696,1,0
10483,Haymarket Hotel,Manhattan,40.80083,-73.95584,Private room,250,1,22,0.47,42237225,1,1
47237,Intercontinental London The O2,Bronx,40.82754,-73.82124,Private room,65,1,1,1,244116720,1,1
39386,H tel Juliana Paris,Brooklyn,40.69979,-73.93158,Entire home/apt,130,3,4,0.63,133972014,1,0
2365,Hotel L Antoine,Manhattan,40.80815,-73.96779,Private room,170,30,4,0.07,6142196,1,0
16745,Belfast,Brooklyn,40.62023,-73.99103,Entire home/apt,73,1,65,3.49,61393656,1,0
23462,Shangri La Hotel Paris,Brooklyn,40.6949,-73.9116,Private room,65,5,20,0.78,56076854,2,1
2261,Mercure Paris Tour Eiffel Pont Mirabeau,Queens,40.74361,-73.91662,Private room,150,30,9,0.12,3864301,2,1
28503,Knightsbridge Hotel,Brooklyn,40.64688,-74.00209,Entire home/apt,150,3,5,0.27,20689561,1,0
38973,The London EDITION,Brooklyn,40.7066,-73.94625,Entire home/apt,150,2,9,1.27,67727548,1,0
1433,The Cranley Hotel,Brooklyn,40.71827,-73.96259,Private room,350,2,3,0.04,3225114,1,1
22198,Hotel Le 10 BIS,Bronx,40.8709,-73.89946,Shared room,60,2,11,0.52,9808458,4,1
37831,The Nadler Soho,Manhattan,40.74563,-73.98342,Entire home/apt,300,1,14,1.92,225150700,1,0
27116,Grange St Paul s Hotel,Brooklyn,40.66719,-73.93913,Entire home/apt,109,2,22,1.17,10456843,1,0
38,The Ampersand Hotel,Brooklyn,40.63702,-73.96327,Private room,150,1,0,,45445,1,1
12664,Covent Garden Hotel,Manhattan,40.72145,-74.00231,Private room,200,1,16,0.83,1317360,2,1
22308,The Nadler Victoria,Manhattan,40.73953,-74.00841,Private room,170,30,1,0.36,766182,1,1
749,Novotel London Tower Bridge,Brooklyn,40.71073,-73.96207,Private room,190,1,30,0.33,1315849,2,1
18043,Crowne Plaza Paris R publique,Manhattan,40.73085,-74.00079,Private room,174,360,0,,85235313,1,1
12064,Le Metropolitan a Tribute Portfolio Hotel,Brooklyn,40.71801,-73.9526,Private room,375,1,23,0.52,8237570,2,1
23895,Atala Champs Elys es,Brooklyn,40.72812,-73.95619,Entire home/apt,225,5,7,0.29,3820994,1,0
2139,H tel de Jos phine BONAPARTE,Brooklyn,40.70162,-73.99465,Private room,100,180,0,,1417489,1,1
36680,Maison Souquet,Manhattan,40.73288,-73.98251,Entire home/apt,59,5,18,2.01,219717193,2,0
18470,Hotel Tour d Auvergne Opera,Manhattan,40.70782,-74.01525,Private room,189,30,1,1,30283594,121,1
48472,Le Senat,Brooklyn,40.68174,-74.00483,Shared room,94,5,0,,7460932,1,0
39258,Windsor Opera,Brooklyn,40.71051,-73.96564,Entire home/apt,145,2,0,,22374232,1,0
48816,Holiday Inn Paris Montparnasse Pasteur,Brooklyn,40.66266,-73.98908,Shared room,100,4,0,,71142174,1,0
46199,H tel Keppler,Brooklyn,40.70685,-73.92149,Shared room,50,4,3,2.5,200182757,2,0
